run_id,ts_utc,prompt_label,audience,numeric_grounding,disclaimer_compliance,stakeholder_fit,conciseness,review_rationale,qc_score,agent3_chars
6491b92f,2026-05-17T01:58:34+00:00,A_production,retail,0.632,1,4,5,"The briefing uses simple, retail‑friendly language with minimal jargon and is brief, with every line delivering concrete information.",1.0,399
7a4c1fc9,2026-05-17T01:59:44+00:00,A_production,retail,0.706,1,4,5,"The language is mostly clear for retail though the term “regime is elevated” adds slight jargon, while the briefing is brief and information‑dense.",1.0,409
8dfec283,2026-05-17T02:01:33+00:00,A_production,retail,0.565,1,4,4,"The brief uses mostly plain language suitable for retail readers while staying brief, though a phrase like ""elevated regime"" adds slight jargon and prevents perfect conciseness.",0.909,384
c0527070,2026-05-17T02:02:39+00:00,A_production,retail,0.684,1,2,4,"The briefing uses technical jargon like “thin liquidity” and “candles” that is unsuitable for a retail audience, but it is short and each line conveys specific information.",1.0,418
f28c2317,2026-05-17T02:04:09+00:00,A_production,retail,0.632,1,2,4,"The language is too technical for a retail audience, but the briefing is brief and to‑the‑point.",1.0,417
550c1ec8,2026-05-17T02:05:21+00:00,A_production,retail,0.542,1,5,5,"The brief uses plain, non‑technical language perfectly suited to retail readers and each sentence delivers essential information without filler.",0.909,330
1ead21a7,2026-05-17T02:06:26+00:00,A_production,retail,0.706,1,4,5,"The briefing uses clear, simple language suitable for retail readers while staying very brief, with each sentence delivering specific information.",1.0,319
8eb901f9,2026-05-17T02:08:04+00:00,A_production,retail,0.696,1,4,4,"The briefing uses mostly plain language suitable for retail readers while staying brief, though a few trading‑specific terms prevent it from being perfectly tailored or ultra‑concise.",1.0,424
4de8f1ab,2026-05-17T02:09:15+00:00,A_production,retail,0.591,1,5,5,"The brief uses plain, trader‑friendly language and is extremely short, with each sentence delivering a clear, relevant point for a retail audience.",0.909,373
2ad4fd73,2026-05-17T02:10:35+00:00,A_production,retail,0.65,1,3,5,"The briefing uses some market‑specific jargon that’s only moderately suited to retail readers, but it is extremely brief with every line delivering essential information.",1.0,422
d2f52b1b,2026-05-17T02:11:52+00:00,A_production,retail,0.647,1,4,5,"The brief uses plain language suitable for retail readers, with only minor technical terms, and every sentence conveys essential information without fluff.",1.0,391
ac67d7e2,2026-05-17T02:13:12+00:00,A_production,retail,0.565,1,5,5,"The brief uses plain, jargon‑free language appropriate for retail investors and presents only essential information without filler.",0.909,418
8f26139a,2026-05-17T02:14:20+00:00,A_production,retail,0.571,1,5,5,"The briefing uses clear, jargon‑free language suited to retail readers and is tightly scoped with no unnecessary filler.",0.909,349
d12f0ef7,2026-05-17T02:15:32+00:00,A_production,retail,0.667,1,3,5,"The brief uses some technical terms that a retail reader may find mildly opaque, but its wording is otherwise clear and each line conveys essential information without filler.",1.0,410
57a58bf1,2026-05-17T02:16:34+00:00,A_production,retail,0.684,1,3,5,"The briefing is very brief and information‑dense, but uses some technical phrasing (e.g., “elevated regime”) that is not fully tuned to a retail audience.",1.0,351
7a1df39c,2026-05-17T02:17:52+00:00,A_production,retail,0.542,1,4,5,"The wording is plain enough for retail readers while retaining minor technical terms, and the brief is tightly focused with no filler.",0.909,329
ff092d3d,2026-05-17T02:18:54+00:00,A_production,retail,0.565,1,4,5,"The language is clear and jargon‑free for retail readers, and the brief is extremely concise with every line providing information.",0.909,302
030e3c8c,2026-05-17T02:20:24+00:00,A_production,retail,0.522,1,4,3,"The briefing uses plain language suitable for retail readers but repeats ideas, making it acceptable yet not maximally concise.",0.909,361
b728cad0,2026-05-17T02:21:43+00:00,A_production,retail,0.545,1,2,5,"The text is very brief but includes technical jargon (e.g., 'relative_volume_lookback') unsuitable for a retail audience.",0.909,443
2cfe2454,2026-05-17T02:23:15+00:00,A_production,retail,0.545,1,3,5,"The language is mostly clear but includes some technical terms that may not fully resonate with a retail audience, while the brief is extremely concise with no filler.",0.909,411
8f5dfd75,2026-05-17T02:24:09+00:00,B_minimal,retail,0.565,1,3,4,The language is moderately technical for a retail audience but the brief is short and each sentence adds information.,0.909,616
792481d1,2026-05-17T02:24:57+00:00,B_minimal,retail,0.632,1,3,5,"The briefing is brief and to the point, but its use of market jargon like 'candles' and 'thinly traded' limits its alignment with a retail audience.",1.0,507
528b5ab9,2026-05-17T02:25:48+00:00,B_minimal,retail,0.706,1,3,5,"The text is brief and to the point, but its use of market jargon like volatility and volume makes it only partially tuned to a retail audience.",1.0,443
15772886,2026-05-17T02:27:00+00:00,B_minimal,retail,0.65,1,2,4,"The wording remains technical for a general retail audience, yet the briefing is brief and to the point.",1.0,683
